tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;Thiohalorhabdaceae_uncultured	48	20	0	0	19	10	23	120
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Nitrincolaceae_uncultured	0	2	33	5	15	6	56	117
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	116	0	0	0	0	0	0	116
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Meridianimaribacter	0	0	0	0	0	116	0	116
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	116	0	0	0	0	0	0	116
Bacteria;Bacteria_none;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilineaceae_uncultured	48	6	0	0	1	34	22	111
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	36	0	0	7	16	14	38	111
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	46	6	0	3	34	14	7	110
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfopila	27	51	0	0	3	0	29	110
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas	0	0	0	0	0	105	1	106
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sedimentitalea	27	2	1	0	25	3	40	98
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira	0	97	0	0	0	0	0	97
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Endozoicomonas	19	9	0	10	16	15	28	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 18	16	5	43	0	3	5	24	96
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorpha	69	0	0	0	8	0	14	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroserpens	15	0	0	3	10	39	22	89
